Commodity,Planning commodity
API,API
Barley,Barley
Beans,Beans
Biscuits,Biscuits
BP5 Emergency Rations,Rations
Bread,Bread
Buckwheat,Buckwheat
Bulgur Wheat,Bulgur Wheat
Canned Chicken,Canned Meat
Canned Fish,Canned Fish
Canned Meat,Canned Meat
Canned Pulses,Canned Pulses
Canned Vegetables,Canned Vegetables
Cheese,Cheese
Chickpeas,Chickpeas
Coffee,Coffee
Corn Soya Milk,Corn Soya Milk
Crackers,Crackers
Dried Fruits,Dried Fruits
Dried Skimmed Milk,Dried Milk
Dried Whole Milk,Dried Milk
Faffa,Faffa
Halawa,Halawa
High Energy Biscuits,High Energy Biscuits
High Energy Supplements,High Energy Supplements
Iodized Salt,Iodized Salt
Juice,Juice
Lentils,Lentils
LNS-LQ,LNS
LNS-MQ,LNS
LNS-SQ,LNS
Maize,Maize
Maize Meal,Maize Meal
Micronutrition Powder,Micronutrition Powder
Micronutrition Tablets,Micronutrition Tablets
Mineral Water,Mineral Water
Nuts,Nuts
Oat,Oat
Pasta,Pasta
Pea Wheat Blend,Pea Wheat Blend
Peanut Butter,Peanut Butter
Peas,Peas
Potato flakes,Potato flakes
Pre-Packaged Food Parcels,Rations
Processed Tomato,Processed Tomato
Quinua,Quinua
Rations,Rations
Rice,Rice
Rice Soya Blend,Rice Soya Blend
RUTF,RUTF
Sorghum Flour,Sorghum Flour
Sorghum/Millet,Sorghum/Millet
Soya-Fortified Maize Meal,Soya-Fortified Maize Meal
Spices,Spices
Split Lentils,Split Lentils
Split Peas,Split Peas
Sugar,Sugar
Super Cereal (CSB+),CSB+
Super Cereal (CSB+) With Sugar,CSB+
Super Cereal (WSB+),WSB+
Super Cereal (WSB+) With Sugar,WSB+
Super Cereal Plus (CSB++),CSB++
Super Cereal Plus (WSB++),WSB++
Tea,Tea
Textured Soy Protein,Textured Soy Protein
Therapeutic Milk,Therapeutic Milk
Tubers Fresh,Tubers Fresh
Uht Milk,Uht Milk
Unimix,Unimix
Vegetable Oil,Vegetable Oil
Vegetable Oil - Canola,Vegetable Oil
Vegetable Oil - Olive,Vegetable Oil
Vegetable Oil - Palmolien,Vegetable Oil
Vegetable Oil - Soya Bean,Vegetable Oil
Vegetable Oil - Sunflower,Vegetable Oil
Vegetables Fresh,Vegetables Fresh
Vitacereal,Vitacereal
Wheat,Wheat
Wheat Flour,Wheat Flour
Yeast,Yeast
